INFO  - 2015-01-04 19:12:31.605; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-01-04 19:12:31.640; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\contexts at interval 0
INFO  - 2015-01-04 19:12:31.660; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\contexts\solr-jetty-context.xml
INFO  - 2015-01-04 19:12:31.780; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/example/webapps/solr.war!/ to C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr-webapp\webapp
INFO  - 2015-01-04 19:12:40.555; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-01-04 19:12:40.875; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-01-04 19:12:41.120; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-01-04 19:12:41.120; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2015-01-04 19:12:41.120; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2015-01-04 19:12:41.625; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\solr.xml
INFO  - 2015-01-04 19:12:43.690; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr
INFO  - 2015-01-04 19:12:43.876; org.apache.solr.core.CoreContainer; New CoreContainer 379645464
INFO  - 2015-01-04 19:12:43.876; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2015-01-04 19:12:44.145; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-01-04 19:12:44.145; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-01-04 19:12:44.155; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-01-04 19:12:44.160; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-01-04 19:12:44.160; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-01-04 19:12:44.160; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-01-04 19:12:44.165; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-01-04 19:12:44.165; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-01-04 19:12:44.165; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-01-04 19:12:45.210; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2015-01-04 19:12:45.215; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-01-04 19:12:45.220; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-01-04 19:12:45.220; org.apache.solr.core.CoreContainer; Host Name: 
